"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Civic Auth Applications","Wagmi NextJS Email Verification","Wagmi NextJS Email Code Verification Flow","0","0","3","0","0"
"Sample Applications","Solana Next.js 14 Wallet Adapter Email Verification","Solana Next.js 14 Wallet Adapter Email Code Verification Flow","0","0","3","0","0"
"Sample Applications","Solana Next.js 15 Wallet Adapter Email Verification","Solana Next.js 15 Wallet Adapter Email Code Verification Flow","0","0","3","0","0"
"Civic Auth Applications","Solana Vite No Wallet Adapter Email Verification","Solana Vite No Wallet Adapter Email Code Verification Flow","0","0","3","0","0"
"","","","0","0","18","0","0"
"Civic Auth Applications","Solana Next.js 15 Turbopack No Wallet Adapter Login","","0","0","3","0","0"
"Civic Auth Applications","Wagmi Email Verification","Wagmi Email Code Verification Flow","0","0","3","0","0"
"Civic Auth Applications","Solana Next.js 15 No Wallet Adapter Login","","0","0","3","0","0"
"Civic Auth Applications","Solana Next.js 15 Turbopack No Wallet Adapter Email Verification","Solana Next.js 15 Turbopack No Wallet Adapter Email Code Verification Flow","0","0","3","0","0"
"Civic Auth Applications","Solana Next.js 15 No Wallet Adapter Email Verification","Solana Next.js 15 No Wallet Adapter Email Code Verification Flow","0","0","3","0","0"
"Sample Applications","Solana Vite Wallet Adapter Email Verification","Solana Vite Wallet Adapter Email Code Verification Flow","0","0","3","0","0"
"Sample Applications","Solana Next.js 15 Turbopack Wallet Adapter Email Verification","Solana Next.js 15 Turbopack Wallet Adapter Email Code Verification Flow","0","0","3","0","0"
"Civic Auth Applications","Solana Next.js 14 No Wallet Adapter Email Verification","Solana Next.js 14 No Wallet Adapter Email Code Verification Flow","0","0","3","0","0"
"Civic Auth Applications","Solana Vite No Wallet Adapter Login","","0","0","3","0","0"
"Civic Auth Web3 Applications","Solana Next.js 14 No Wallet Adapter Login","","0","0","3","0","0"
